1,4,0.075,1
1,5,0.75,2
1,6,0.7,3
1,7,0.8,4
1,9,0.67083,5
1,12,0.51667,6
1,13,0.71515,7
1,14,0.225,8
1,15,0.45,9
1,17,0.17778,10
1,18,0.22029,11
2,8,0.069712,12
2,9,0.09375,13
2,10,0.35625,14
2,11,0.77292,15
2,12,0.71875,16
2,16,0.5744,17
2,18,0.76359,18
3,5,0.71474,19
3,12,0.34856,20
3,13,0.51981,21
3,14,0.74279,22
3,15,0.16346,23
3,17,0.094017,24
4,5,0.083333,25
4,6,0.47222,26
4,8,0.44231,27
4,10,0.90833,28
4,11,0.525,29
4,14,0.39583,30
4,16,0.4881,31
4,17,0.097222,32
4,18,0.69746,33
5,6,0.23611,34
5,7,0.52083,35
5,12,0.072917,36
5,13,0.64394,37
5,14,0.6875,38
5,15,0.16667,39
6,8,0.3109,40
6,9,0.43056,41
6,12,0.52083,42
6,13,0.44823,43
6,14,0.51042,44
6,15,0.13889,45
6,16,0.40079,46
6,17,0.38889,47
6,18,0.61171,48
7,9,0.25,49
7,13,0.23295,50
7,15,0.875,51
7,17,0.11806,52
8,11,0.54615,53
8,12,0.31731,54
8,14,0.80529,55
8,16,0.70879,56
8,17,0.094017,57
8,18,0.060201,58
9,12,0.25,59
9,18,0.33696,60
10,11,0.86667,61
10,16,0.14762,62
10,18,0.63913,63
11,16,0.72381,64
11,18,0.49565,65
12,13,0.52462,66
12,14,0.5,67
12,16,0.77083,68
12,17,0.37847,69
12,18,0.72283,70
13,14,0.54167,71
13,15,0.35606,72
13,17,0.38384,73
14,16,0.49554,74
14,17,0.48958,75
15,17,0.23611,76
16,17,0.57937,77
16,18,0.63354,78
