1,6,0.625,1
1,9,0.625,2
1,10,1,3
1,13,0.625,4
2,4,0.15476,5
2,5,0.58333,6
2,6,0.20833,7
2,7,0.75,8
2,8,0.81667,9
2,9,0.41667,10
2,13,0.66667,11
2,15,0.38636,12
2,16,0.18333,13
2,17,0.33333,14
3,4,0.78571,15
3,6,0.875,16
3,11,0.625,17
3,13,0.25,18
3,14,0.5,19
3,15,0.51136,20
3,16,1,21
3,17,0.375,22
4,5,0.57143,23
4,6,0.66071,24
4,7,0.70635,25
4,8,0.17143,26
4,13,0.19643,27
4,15,0.67532,28
4,16,0.51429,29
4,17,0.32143,30
5,7,0.55556,31
5,8,0.6,32
6,7,0.18056,33
6,9,0.375,34
6,10,0.625,35
6,12,0.625,36
6,13,0.375,37
6,17,0.375,38
7,8,0.94444,39
7,9,0.18056,40
7,12,0.55556,41
7,13,0.18056,42
7,15,0.61616,43
7,17,0.30556,44
8,12,0.35,45
8,15,0.58182,46
8,17,0.9,47
9,12,0.375,48
9,13,0.25,49
11,12,0.75,50
11,14,0.75,51
11,16,0.6,52
11,17,0.75,53
12,16,0.35,54
12,17,0.5,55
13,15,0.72727,56
13,16,0.475,57
14,16,0.45,58
15,16,0.85455,59
15,17,0.63636,60
16,17,0.45,61
